gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,extracurricular,backlogs,projects,communication,status
M,76.7,Central,89.7,Others,Commerce,66.0,Comm&Mgmt,Yes,90.0,Mkt&Fin,68.55,Yes,0,4,4.0,Placed
M,69.58,Central,84.26,Others,Commerce,79.61,Comm&Mgmt,No,94.0,Mkt&HR,67.93,No,1,2,5.4,Placed
M,64.8,Others,74.43,Others,Commerce,67.38,Sci&Tech,No,50.0,Mkt&HR,63.53,Yes,3,1,5.5,Not Placed
M,74.47,Others,86.64,Others,Science,70.55,Comm&Mgmt,No,83.47,Mkt&HR,64.09,No,0,2,5.7,Placed
F,62.05,Central,55.31,Others,Arts,72.61,Comm&Mgmt,No,67.99,Mkt&Fin,78.0,No,0,2,9.0,Placed
M,82.25,Central,69.49,Others,Science,77.0,Comm&Mgmt,Yes,54.34,Mkt&Fin,63.72,Yes,2,3,7.1,Placed
M,65.93,Central,71.81,Central,Science,65.28,Comm&Mgmt,No,52.58,Mkt&Fin,68.61,Yes,0,2,5.4,Placed
M,56.52,Others,75.65,Others,Arts,52.0,Comm&Mgmt,No,79.36,Mkt&Fin,61.61,No,0,2,6.7,Placed
M,72.36,Others,52.88,Others,Science,80.85,Sci&Tech,Yes,60.45,Mkt&HR,66.1,Yes,0,4,8.2,Placed
M,71.81,Central,89.24,Central,Science,66.39,Sci&Tech,Yes,80.35,Mkt&HR,73.97,Yes,1,2,9.3,Placed
M,54.2,Others,65.59,Others,Science,73.41,Sci&Tech,No,98.0,Mkt&Fin,64.31,Yes,0,1,5.1,Placed
M,80.09,Others,80.73,Central,Science,72.72,Comm&Mgmt,Yes,60.27,Mkt&Fin,59.79,No,0,2,8.6,Placed
M,77.31,Others,63.8,Central,Commerce,73.61,Sci&Tech,No,50.0,Mkt&Fin,73.19,Yes,2,3,4.2,Not Placed
M,55.32,Others,57.17,Others,Commerce,67.31,Comm&Mgmt,Yes,54.01,Mkt&Fin,64.17,No,0,2,3.9,Not Placed
M,58.0,Others,61.0,Others,Commerce,61.0,Comm&Mgmt,No,58.0,Mkt&HR,53.94,Yes,1,1,6.7,Placed
F,77.8,Central,64.0,Central,Science,64.2,Sci&Tech,No,75.5,Mkt&HR,72.14,Yes,2,0,5.6,Not Placed
M,84.77,Others,52.93,Others,Commerce,65.52,Comm&Mgmt,No,86.76,Mkt&HR,71.73,Yes,0,2,7.6,Placed
F,88.63,Central,62.96,Others,Science,62.09,Comm&Mgmt,No,68.7,Mkt&Fin,62.73,Yes,0,3,8.1,Placed
F,67.16,Others,67.31,Central,Commerce,77.84,Comm&Mgmt,Yes,84.58,Mkt&HR,75.01,Yes,0,1,5.0,Placed
M,44.31,Central,69.65,Others,Commerce,59.67,Comm&Mgmt,No,68.8,Mkt&HR,66.82,No,2,1,6.3,Not Placed
M,55.8,Central,58.96,Others,Commerce,55.88,Comm&Mgmt,No,82.95,Mkt&Fin,62.16,No,1,2,5.4,Not Placed
M,65.0,Central,65.0,Central,Commerce,75.0,Comm&Mgmt,No,83.0,Mkt&Fin,58.87,No,0,3,6.6,Placed
M,54.72,Others,51.56,Others,Commerce,70.16,Comm&Mgmt,No,70.19,Mkt&HR,59.43,Yes,3,3,7.9,Placed
F,75.06,Others,73.2,Others,Science,75.14,Comm&Mgmt,No,70.69,Mkt&Fin,64.21,Yes,0,1,8.4,Placed
F,59.51,Central,55.91,Central,Commerce,61.17,Comm&Mgmt,No,50.0,Mkt&HR,67.72,Yes,0,1,5.8,Not Placed
F,57.94,Others,82.83,Others,Science,63.37,Comm&Mgmt,No,68.96,Mkt&HR,63.17,No,2,1,6.1,Placed
F,67.16,Central,72.5,Central,Commerce,63.35,Comm&Mgmt,No,53.04,Mkt&Fin,65.52,Yes,0,3,9.9,Placed
M,69.79,Others,69.5,Others,Arts,70.14,Comm&Mgmt,No,56.59,Mkt&Fin,66.49,No,1,2,5.5,Not Placed
F,47.0,Central,59.0,Central,Arts,64.0,Comm&Mgmt,No,78.0,Mkt&Fin,61.58,Yes,3,3,3.8,Not Placed
M,56.5,Central,56.69,Central,Arts,75.48,Comm&Mgmt,No,51.44,Mkt&Fin,54.82,No,0,0,5.2,Not Placed
F,83.96,Others,53.0,Others,Science,91.0,Sci&Tech,No,59.32,Mkt&HR,69.71,No,0,2,6.5,Placed
M,53.15,Central,71.48,Central,Science,63.19,Comm&Mgmt,No,60.28,Mkt&Fin,56.1,No,0,4,6.0,Not Placed
M,55.58,Others,68.91,Others,Arts,66.92,Comm&Mgmt,No,50.61,Mkt&Fin,61.18,No,1,2,6.0,Not Placed
M,62.63,Central,83.1,Central,Science,77.21,Others,No,82.95,Mkt&HR,61.72,Yes,1,5,5.9,Placed
F,73.0,Others,63.0,Others,Science,66.0,Comm&Mgmt,No,89.0,Mkt&Fin,60.5,No,0,3,8.8,Placed
M,58.0,Others,40.0,Others,Science,59.0,Comm&Mgmt,No,73.0,Mkt&HR,58.81,No,0,1,7.1,Not Placed
M,52.81,Others,59.98,Central,Commerce,57.19,Comm&Mgmt,No,77.2,Mkt&Fin,63.39,Yes,0,3,8.1,Placed
M,95.0,Others,52.91,Others,Science,63.7,Comm&Mgmt,Yes,69.91,Mkt&HR,59.75,Yes,0,2,7.6,Placed
F,81.99,Others,85.71,Others,Science,78.7,Comm&Mgmt,Yes,65.52,Mkt&Fin,62.24,Yes,0,1,8.5,Placed
M,74.98,Others,56.64,Others,Science,74.59,Sci&Tech,Yes,73.15,Mkt&Fin,68.32,No,0,3,7.0,Placed
M,64.42,Others,67.29,Others,Arts,66.97,Comm&Mgmt,No,68.55,Mkt&Fin,66.43,Yes,0,2,8.2,Placed
F,50.98,Others,68.11,Central,Science,73.78,Comm&Mgmt,No,65.85,Mkt&HR,63.12,Yes,0,3,8.0,Placed
M,64.71,Others,83.83,Others,Commerce,69.81,Comm&Mgmt,No,65.39,Mkt&Fin,65.53,Yes,1,3,7.5,Placed
F,72.0,Others,60.0,Others,Science,69.0,Comm&Mgmt,No,55.5,Mkt&HR,58.4,Yes,0,1,9.0,Placed
M,52.87,Central,54.53,Others,Commerce,71.02,Comm&Mgmt,No,62.77,Mkt&HR,56.18,Yes,0,3,7.5,Not Placed
F,75.59,Central,66.14,Others,Commerce,64.16,Comm&Mgmt,Yes,79.95,Mkt&Fin,55.64,Yes,0,1,6.6,Placed
M,63.71,Central,59.11,Others,Commerce,56.29,Comm&Mgmt,Yes,64.03,Mkt&Fin,65.47,No,3,2,7.1,Not Placed
M,72.97,Central,90.92,Others,Science,70.69,Sci&Tech,No,50.0,Mkt&Fin,65.63,Yes,1,3,7.5,Placed
M,87.0,Others,87.0,Others,Commerce,68.0,Comm&Mgmt,No,95.0,Mkt&HR,62.9,Yes,0,3,8.2,Placed
M,82.0,Others,90.0,Others,Commerce,83.0,Comm&Mgmt,No,80.0,Mkt&HR,73.52,Yes,0,1,6.9,Placed
M,80.23,Central,54.59,Others,Science,52.04,Comm&Mgmt,No,76.18,Mkt&HR,55.99,No,1,2,6.3,Not Placed
M,72.1,Others,73.79,Others,Commerce,70.09,Comm&Mgmt,No,73.96,Mkt&HR,65.43,Yes,1,3,7.0,Placed
M,73.0,Central,64.0,Others,Commerce,77.0,Comm&Mgmt,Yes,65.0,Mkt&HR,60.98,Yes,0,2,7.3,Placed
F,68.26,Central,60.55,Others,Science,74.95,Comm&Mgmt,Yes,81.91,Mkt&Fin,61.76,Yes,0,2,7.3,Placed
M,84.2,Central,73.4,Central,Commerce,66.89,Comm&Mgmt,No,61.6,Mkt&Fin,62.48,Yes,0,4,7.7,Placed
F,77.0,Others,73.0,Others,Commerce,81.0,Comm&Mgmt,Yes,89.0,Mkt&Fin,69.7,No,0,5,5.3,Placed
M,59.96,Others,42.16,Others,Science,61.26,Sci&Tech,No,54.48,Mkt&HR,65.48,Yes,0,1,3.3,Not Placed
M,54.0,Others,47.0,Others,Science,57.0,Comm&Mgmt,No,89.69,Mkt&HR,57.1,Yes,3,1,7.2,Not Placed
F,72.86,Central,78.46,Others,Science,70.57,Others,Yes,91.48,Mkt&HR,63.53,No,0,3,6.3,Placed
F,83.84,Others,89.83,Others,Commerce,77.2,Comm&Mgmt,Yes,78.74,Mkt&Fin,76.18,Yes,0,2,8.0,Placed
M,63.21,Central,62.59,Central,Commerce,73.59,Comm&Mgmt,No,58.81,Mkt&HR,56.01,No,2,1,4.6,Not Placed
F,52.0,Central,64.0,Central,Commerce,61.0,Comm&Mgmt,No,55.0,Mkt&Fin,62.93,No,1,2,5.3,Not Placed
M,75.64,Central,61.72,Others,Arts,65.83,Sci&Tech,Yes,78.03,Mkt&Fin,68.98,Yes,0,1,5.7,Placed
M,52.0,Central,49.0,Others,Commerce,58.0,Comm&Mgmt,No,62.0,Mkt&HR,60.59,Yes,0,1,2.5,Not Placed
F,47.0,Central,55.0,Others,Science,65.0,Comm&Mgmt,No,62.0,Mkt&HR,65.04,No,0,3,8.2,Not Placed
F,69.0,Central,78.0,Central,Commerce,72.0,Comm&Mgmt,No,71.0,Mkt&HR,62.74,Yes,0,4,7.2,Placed
M,76.76,Others,76.5,Others,Commerce,67.5,Comm&Mgmt,Yes,73.35,Mkt&Fin,64.15,Yes,1,1,8.6,Placed
F,63.4,Others,67.2,Others,Commerce,60.0,Comm&Mgmt,No,58.06,Mkt&HR,69.28,No,2,1,7.2,Not Placed
M,85.0,Central,60.0,Others,Science,73.43,Sci&Tech,Yes,60.0,Mkt&Fin,61.29,No,0,1,5.0,Placed
F,45.81,Central,83.07,Others,Science,55.85,Comm&Mgmt,No,83.05,Mkt&HR,54.86,Yes,1,1,8.0,Not Placed
M,65.92,Central,38.19,Central,Commerce,67.26,Comm&Mgmt,No,95.0,Mkt&Fin,59.33,No,0,3,7.2,Not Placed
M,51.11,Central,54.66,Others,Science,71.45,Sci&Tech,No,64.07,Mkt&Fin,57.33,Yes,2,4,4.6,Not Placed
M,51.87,Others,77.06,Others,Science,57.71,Comm&Mgmt,No,80.55,Mkt&Fin,59.56,Yes,0,2,6.4,Placed
M,77.65,Others,71.1,Central,Commerce,61.71,Comm&Mgmt,Yes,78.22,Mkt&Fin,66.56,No,0,2,8.3,Placed
M,73.0,Central,78.0,Others,Commerce,65.0,Comm&Mgmt,Yes,95.46,Mkt&Fin,62.16,Yes,0,4,6.3,Placed
M,54.4,Central,61.12,Central,Commerce,56.2,Comm&Mgmt,No,67.0,Mkt&HR,62.65,Yes,2,2,5.4,Not Placed
F,67.96,Central,37.99,Central,Commerce,66.58,Comm&Mgmt,No,50.0,Mkt&HR,58.75,Yes,0,1,4.2,Not Placed
M,95.0,Central,71.51,Others,Science,69.77,Comm&Mgmt,Yes,57.33,Mkt&Fin,61.28,Yes,1,3,7.2,Placed
F,49.19,Others,56.78,Others,Commerce,65.01,Comm&Mgmt,Yes,67.44,Mkt&Fin,65.98,Yes,0,4,8.6,Placed
M,72.56,Central,85.75,Central,Science,71.68,Comm&Mgmt,Yes,78.96,Mkt&HR,61.2,Yes,0,3,6.9,Placed
M,68.0,Others,56.0,Others,Science,68.0,Sci&Tech,No,73.0,Mkt&HR,68.07,No,1,2,6.9,Placed
M,70.92,Others,69.46,Others,Science,72.12,Comm&Mgmt,No,75.67,Mkt&Fin,64.95,Yes,0,2,6.7,Placed
F,73.71,Central,59.95,Others,Science,73.17,Comm&Mgmt,Yes,75.18,Mkt&HR,66.8,Yes,1,4,7.5,Placed
F,74.0,Others,63.16,Others,Commerce,65.0,Comm&Mgmt,Yes,65.0,Mkt&HR,69.76,No,1,0,8.6,Not Placed
F,63.44,Others,58.15,Central,Commerce,75.22,Others,Yes,57.4,Mkt&HR,68.63,Yes,0,0,7.9,Placed
F,56.66,Central,63.02,Others,Commerce,68.16,Comm&Mgmt,No,83.29,Mkt&Fin,66.77,Yes,0,4,6.1,Placed
M,41.0,Central,42.0,Central,Science,60.0,Comm&Mgmt,No,97.0,Mkt&Fin,53.39,Yes,0,2,6.4,Not Placed
F,74.04,Others,61.21,Others,Science,80.96,Comm&Mgmt,No,59.75,Mkt&Fin,70.85,Yes,0,1,4.4,Not Placed
M,71.45,Central,55.04,Central,Commerce,69.26,Comm&Mgmt,No,66.27,Mkt&Fin,61.79,Yes,2,4,5.1,Placed
M,88.58,Central,65.47,Others,Science,70.19,Comm&Mgmt,No,88.79,Mkt&HR,63.18,No,0,3,7.1,Placed
F,71.49,Central,74.68,Central,Commerce,70.29,Comm&Mgmt,No,60.91,Mkt&HR,64.16,No,1,3,6.0,Not Placed
M,61.84,Others,77.81,Central,Commerce,59.09,Comm&Mgmt,Yes,91.28,Mkt&HR,61.95,No,3,1,9.5,Placed
M,74.42,Central,62.74,Others,Commerce,70.9,Comm&Mgmt,No,84.69,Mkt&HR,60.65,Yes,0,1,5.9,Placed
M,85.8,Central,73.6,Central,Commerce,73.3,Comm&Mgmt,No,96.8,Mkt&Fin,55.5,Yes,0,1,8.1,Placed
M,80.27,Central,69.47,Central,Arts,68.3,Sci&Tech,Yes,70.28,Mkt&HR,64.6,Yes,1,5,6.3,Placed
F,70.52,Central,59.26,Others,Commerce,57.12,Others,Yes,62.26,Mkt&Fin,62.83,No,2,1,4.9,Not Placed
F,75.11,Others,59.22,Central,Science,60.14,Comm&Mgmt,No,95.2,Mkt&HR,59.38,Yes,1,4,6.1,Placed
M,62.22,Others,68.85,Central,Commerce,63.67,Sci&Tech,No,60.63,Mkt&HR,59.83,No,0,0,5.8,Not Placed
F,45.0,Others,57.0,Others,Commerce,58.0,Comm&Mgmt,Yes,56.39,Mkt&HR,64.95,Yes,1,3,6.0,Not Placed
M,60.54,Central,62.48,Others,Commerce,69.94,Comm&Mgmt,Yes,76.69,Mkt&HR,65.08,No,0,1,6.9,Placed
M,74.18,Central,73.99,Others,Science,70.47,Comm&Mgmt,No,96.41,Mkt&HR,69.51,Yes,0,3,7.6,Placed
M,76.06,Central,69.46,Others,Commerce,75.72,Sci&Tech,No,98.0,Mkt&HR,65.59,Yes,0,3,6.5,Placed
M,63.3,Central,52.92,Central,Science,72.61,Comm&Mgmt,Yes,98.0,Mkt&Fin,62.17,Yes,0,2,8.8,Placed
F,74.0,Others,66.0,Others,Commerce,58.0,Comm&Mgmt,No,70.0,Mkt&HR,60.23,No,0,5,7.2,Placed
F,61.15,Central,56.73,Central,Science,60.08,Comm&Mgmt,No,84.57,Mkt&Fin,67.62,No,1,3,5.9,Not Placed
M,80.0,Others,80.0,Others,Commerce,72.0,Comm&Mgmt,Yes,63.79,Mkt&Fin,66.04,Yes,1,3,8.9,Placed
F,69.0,Central,73.0,Central,Commerce,65.0,Comm&Mgmt,No,70.0,Mkt&Fin,57.31,Yes,1,3,6.9,Placed
F,75.73,Central,90.62,Others,Commerce,74.61,Comm&Mgmt,Yes,88.22,Mkt&Fin,78.0,No,0,2,6.0,Placed
M,78.79,Central,64.65,Central,Commerce,58.28,Sci&Tech,Yes,61.11,Mkt&Fin,61.34,Yes,0,4,10.0,Placed
M,63.0,Central,60.0,Central,Commerce,57.0,Comm&Mgmt,Yes,78.0,Mkt&Fin,54.55,Yes,0,1,6.0,Placed
F,61.0,Central,81.0,Central,Commerce,66.4,Comm&Mgmt,No,50.89,Mkt&HR,62.21,Yes,2,2,7.3,Placed
M,69.0,Others,60.0,Others,Commerce,65.0,Comm&Mgmt,No,87.55,Mkt&Fin,52.81,No,2,5,7.1,Placed
F,77.44,Central,92.0,Others,Commerce,72.0,Comm&Mgmt,Yes,94.0,Mkt&Fin,67.13,Yes,0,5,8.7,Placed
M,63.0,Others,67.0,Others,Commerce,66.0,Comm&Mgmt,No,68.0,Mkt&HR,57.69,Yes,0,1,6.9,Placed
M,65.29,Central,82.32,Central,Science,72.09,Comm&Mgmt,No,79.86,Mkt&HR,69.04,Yes,0,3,9.0,Placed
F,69.03,Others,83.53,Central,Science,78.03,Sci&Tech,No,67.61,Mkt&Fin,63.79,Yes,2,2,7.2,Placed
M,64.87,Central,73.39,Others,Commerce,50.0,Sci&Tech,No,50.0,Mkt&HR,57.8,No,1,3,7.1,Not Placed
M,54.87,Others,75.09,Central,Commerce,69.32,Comm&Mgmt,No,61.18,Mkt&HR,67.55,No,0,0,6.3,Not Placed
F,76.79,Central,70.16,Central,Science,65.5,Comm&Mgmt,No,72.02,Mkt&Fin,65.64,No,1,3,4.8,Placed
M,75.11,Central,57.18,Central,Commerce,68.7,Comm&Mgmt,Yes,73.74,Mkt&Fin,65.52,No,0,4,5.4,Placed
F,89.33,Others,70.47,Central,Science,68.92,Sci&Tech,No,72.71,Mkt&Fin,69.53,Yes,1,3,6.6,Placed
M,55.43,Central,56.07,Central,Commerce,58.25,Sci&Tech,Yes,60.77,Mkt&Fin,62.93,Yes,0,2,3.7,Not Placed
F,82.0,Others,64.0,Others,Science,73.0,Sci&Tech,Yes,96.0,Mkt&Fin,71.77,No,0,5,6.4,Placed
F,86.5,Others,64.2,Others,Science,67.4,Sci&Tech,No,59.0,Mkt&Fin,59.69,Yes,0,3,7.9,Placed
M,73.59,Others,66.73,Others,Commerce,67.49,Comm&Mgmt,Yes,73.64,Mkt&Fin,75.21,No,1,1,6.3,Placed
M,80.4,Central,73.4,Central,Science,77.72,Sci&Tech,Yes,81.2,Mkt&HR,76.26,Yes,0,2,8.7,Placed
M,65.62,Others,66.91,Others,Commerce,67.43,Comm&Mgmt,No,51.73,Mkt&Fin,65.45,Yes,0,3,5.6,Not Placed
M,78.91,Central,83.04,Central,Commerce,73.67,Comm&Mgmt,No,98.0,Mkt&Fin,60.06,No,0,3,7.9,Placed
M,80.0,Others,73.0,Others,Commerce,75.0,Comm&Mgmt,No,61.0,Mkt&Fin,58.78,Yes,1,1,7.0,Placed
M,62.0,Central,47.0,Central,Commerce,50.0,Comm&Mgmt,No,76.0,Mkt&HR,54.96,Yes,1,2,6.6,Not Placed
M,84.2,Central,69.4,Central,Science,65.0,Sci&Tech,Yes,80.0,Mkt&HR,52.72,Yes,0,3,7.2,Placed
F,78.0,Central,77.0,Others,Commerce,80.0,Comm&Mgmt,No,60.0,Mkt&Fin,66.72,Yes,0,3,6.7,Placed
M,65.13,Others,80.99,Central,Commerce,72.59,Sci&Tech,Yes,96.66,Mkt&HR,75.34,Yes,0,3,6.3,Placed
M,81.25,Central,66.38,Central,Commerce,68.17,Sci&Tech,No,76.31,Mkt&HR,67.91,No,0,1,8.3,Placed
M,78.5,Central,65.5,Central,Science,67.0,Sci&Tech,Yes,95.0,Mkt&Fin,64.86,Yes,0,4,8.5,Placed
M,50.1,Others,74.16,Others,Commerce,61.66,Comm&Mgmt,No,52.74,Mkt&HR,61.08,Yes,0,1,6.1,Not Placed
F,40.89,Others,45.83,Others,Commerce,53.0,Comm&Mgmt,No,71.2,Mkt&HR,65.49,Yes,1,2,3.1,Not Placed
M,83.68,Others,72.28,Others,Science,72.61,Sci&Tech,Yes,80.24,Mkt&HR,65.24,Yes,0,4,6.8,Placed
F,64.73,Others,53.51,Others,Commerce,66.63,Comm&Mgmt,Yes,92.23,Mkt&HR,66.3,No,1,3,7.4,Placed
M,66.3,Central,58.18,Central,Science,62.51,Comm&Mgmt,No,66.71,Mkt&HR,64.91,No,1,2,4.3,Not Placed
M,59.79,Central,58.68,Others,Commerce,54.18,Sci&Tech,No,61.84,Mkt&Fin,53.06,No,1,2,5.4,Not Placed
F,71.7,Central,65.91,Others,Commerce,61.29,Comm&Mgmt,Yes,73.18,Mkt&HR,65.7,No,0,2,4.0,Placed
M,51.71,Others,67.38,Central,Science,68.87,Comm&Mgmt,Yes,62.21,Mkt&Fin,63.83,Yes,0,2,7.7,Placed
M,62.77,Central,54.73,Central,Arts,57.8,Comm&Mgmt,No,81.27,Mkt&Fin,64.21,No,0,0,4.2,Not Placed
M,54.2,Central,63.0,Others,Science,58.0,Comm&Mgmt,No,79.0,Mkt&HR,58.44,Yes,1,1,6.2,Not Placed
M,55.6,Others,51.0,Others,Commerce,57.5,Comm&Mgmt,No,57.63,Mkt&HR,62.72,No,1,1,6.3,Not Placed
M,61.32,Central,75.65,Others,Science,68.64,Comm&Mgmt,No,50.0,Mkt&Fin,70.21,No,0,3,6.4,Placed
M,68.34,Others,72.55,Others,Science,65.91,Comm&Mgmt,Yes,81.28,Mkt&HR,68.18,No,0,1,7.5,Placed
M,59.0,Central,64.0,Others,Science,58.0,Sci&Tech,No,85.0,Mkt&HR,55.3,No,0,3,6.3,Not Placed
M,52.84,Others,59.98,Others,Commerce,50.0,Comm&Mgmt,Yes,57.42,Mkt&HR,58.64,No,0,2,8.2,Not Placed
M,79.33,Central,78.33,Others,Science,77.48,Sci&Tech,Yes,86.5,Mkt&Fin,66.28,Yes,1,3,7.6,Placed
F,57.02,Central,49.88,Others,Commerce,62.79,Comm&Mgmt,No,65.83,Mkt&HR,58.32,Yes,0,1,4.3,Not Placed
F,69.0,Others,62.0,Others,Commerce,69.0,Comm&Mgmt,Yes,67.0,Mkt&HR,62.35,Yes,0,2,8.3,Placed
M,61.0,Others,62.0,Others,Commerce,65.0,Comm&Mgmt,No,62.0,Mkt&Fin,56.81,Yes,0,5,7.3,Placed
M,62.0,Others,51.0,Others,Science,52.0,Others,No,68.44,Mkt&HR,62.77,No,0,1,4.9,Not Placed
F,77.07,Others,84.36,Central,Commerce,65.48,Sci&Tech,Yes,82.58,Mkt&Fin,62.8,Yes,0,3,5.1,Placed
F,74.09,Central,89.08,Others,Commerce,74.01,Comm&Mgmt,No,72.14,Mkt&Fin,68.09,Yes,0,2,4.6,Placed
M,68.93,Central,69.04,Others,Science,57.4,Comm&Mgmt,No,75.31,Mkt&Fin,67.07,No,0,2,6.4,Placed
F,83.19,Central,55.82,Others,Science,64.49,Comm&Mgmt,Yes,71.93,Mkt&Fin,63.99,Yes,0,1,8.3,Not Placed
M,52.0,Central,57.0,Central,Commerce,50.8,Comm&Mgmt,No,67.0,Mkt&HR,62.79,Yes,0,3,6.9,Not Placed
M,47.47,Central,56.11,Others,Commerce,61.62,Others,No,50.0,Mkt&HR,64.51,Yes,0,0,5.5,Not Placed
F,57.15,Others,79.66,Others,Science,66.09,Comm&Mgmt,No,80.93,Mkt&HR,60.76,Yes,0,3,7.3,Placed
M,83.86,Central,73.24,Others,Commerce,76.53,Others,No,68.31,Mkt&Fin,64.28,Yes,0,1,6.3,Placed
F,77.29,Central,61.5,Others,Commerce,60.01,Comm&Mgmt,Yes,76.18,Mkt&Fin,64.16,No,0,2,7.6,Placed
F,77.0,Central,87.0,Central,Commerce,59.0,Comm&Mgmt,No,68.0,Mkt&Fin,68.63,No,0,2,7.1,Placed
M,67.19,Central,72.26,Others,Science,78.85,Comm&Mgmt,No,75.02,Mkt&Fin,69.9,Yes,0,3,6.2,Placed
M,64.15,Others,79.05,Central,Commerce,76.06,Comm&Mgmt,No,85.1,Mkt&Fin,59.2,Yes,1,1,7.4,Placed
M,64.52,Central,74.68,Others,Arts,69.77,Sci&Tech,No,84.24,Mkt&Fin,64.66,Yes,1,4,8.2,Placed
M,62.0,Others,62.0,Others,Commerce,60.0,Comm&Mgmt,Yes,63.0,Mkt&HR,52.38,No,0,5,8.4,Placed
F,63.86,Others,55.18,Central,Science,63.39,Sci&Tech,No,50.0,Mkt&Fin,59.07,No,1,3,4.2,Not Placed
M,79.97,Central,63.19,Others,Commerce,58.13,Comm&Mgmt,No,64.94,Mkt&Fin,51.0,No,0,2,3.1,Not Placed
M,76.12,Central,62.58,Central,Science,59.7,Comm&Mgmt,Yes,72.99,Mkt&Fin,64.46,Yes,0,4,6.7,Placed
M,70.1,Others,74.31,Others,Science,69.99,Others,No,77.68,Mkt&HR,60.79,Yes,1,2,6.8,Placed
M,59.21,Others,53.49,Central,Commerce,66.97,Comm&Mgmt,No,60.1,Mkt&HR,59.0,Yes,0,4,8.1,Placed
M,63.53,Central,63.54,Others,Commerce,73.26,Comm&Mgmt,No,65.5,Mkt&Fin,65.78,Yes,0,2,6.8,Placed
M,59.69,Central,59.76,Others,Commerce,67.89,Others,Yes,82.79,Mkt&HR,69.31,No,1,5,6.1,Placed
F,54.0,Central,77.6,Others,Commerce,69.2,Comm&Mgmt,No,95.65,Mkt&Fin,66.94,No,2,2,6.3,Not Placed
F,70.62,Others,76.57,Others,Arts,63.77,Comm&Mgmt,Yes,77.46,Mkt&Fin,62.44,Yes,0,2,7.7,Placed
M,81.57,Others,79.28,Central,Commerce,85.22,Comm&Mgmt,Yes,68.37,Mkt&HR,61.46,Yes,0,4,4.0,Placed
M,74.0,Central,62.0,Others,Science,68.0,Comm&Mgmt,No,74.0,Mkt&Fin,57.99,Yes,0,2,5.8,Placed
F,60.83,Central,82.0,Others,Commerce,71.12,Comm&Mgmt,Yes,79.16,Mkt&HR,58.99,Yes,0,0,8.2,Placed
M,75.82,Others,67.42,Others,Science,72.23,Comm&Mgmt,No,69.6,Mkt&HR,62.7,Yes,0,3,6.2,Placed
M,90.02,Central,70.78,Others,Science,68.1,Sci&Tech,Yes,80.55,Mkt&Fin,74.16,Yes,0,2,6.5,Placed
F,79.0,Others,76.0,Others,Commerce,85.0,Comm&Mgmt,No,95.0,Mkt&Fin,69.06,Yes,1,3,7.6,Placed
M,88.08,Others,66.48,Central,Commerce,73.54,Comm&Mgmt,Yes,50.0,Mkt&HR,70.38,No,1,2,7.9,Placed
M,57.95,Others,65.53,Central,Science,69.87,Comm&Mgmt,No,95.24,Mkt&HR,65.11,Yes,0,2,7.1,Placed
M,87.0,Central,74.0,Central,Science,65.0,Sci&Tech,Yes,75.0,Mkt&HR,72.29,Yes,2,4,5.3,Placed
F,52.82,Others,67.19,Others,Science,78.57,Comm&Mgmt,No,71.99,Mkt&Fin,64.5,Yes,0,5,7.2,Placed
M,67.0,Others,61.0,Central,Science,72.0,Comm&Mgmt,No,72.0,Mkt&Fin,61.01,Yes,0,1,8.9,Placed
M,74.29,Central,78.83,Others,Science,63.79,Comm&Mgmt,No,88.39,Mkt&HR,58.41,Yes,0,1,2.5,Not Placed
M,65.69,Others,59.88,Others,Commerce,67.11,Sci&Tech,No,59.41,Mkt&HR,55.59,Yes,2,0,6.0,Not Placed
M,71.64,Central,59.39,Central,Science,61.18,Comm&Mgmt,No,50.0,Mkt&HR,63.28,No,2,3,5.0,Not Placed
M,87.51,Central,63.64,Central,Commerce,70.59,Comm&Mgmt,No,84.39,Mkt&Fin,67.31,Yes,0,1,10.0,Placed
F,61.49,Others,58.68,Others,Science,57.99,Comm&Mgmt,No,75.86,Mkt&Fin,59.67,No,0,0,5.0,Not Placed
M,62.0,Central,65.0,Others,Commerce,60.0,Comm&Mgmt,No,84.0,Mkt&Fin,64.15,No,2,0,6.1,Not Placed
M,54.0,Central,82.0,Others,Commerce,63.0,Sci&Tech,No,50.0,Mkt&Fin,59.47,Yes,1,2,4.2,Not Placed
F,70.09,Central,71.66,Central,Science,70.82,Comm&Mgmt,No,63.72,Mkt&Fin,59.53,No,0,3,7.4,Placed
M,59.6,Central,51.0,Central,Science,60.0,Others,No,75.0,Mkt&HR,59.08,No,0,3,3.9,Not Placed
M,65.73,Central,52.54,Others,Commerce,63.96,Comm&Mgmt,No,89.47,Mkt&HR,58.08,No,0,1,5.1,Not Placed
M,74.8,Central,65.5,Others,Commerce,61.51,Comm&Mgmt,No,70.62,Mkt&Fin,69.36,No,0,5,5.8,Placed
M,62.0,Central,58.0,Others,Science,53.0,Comm&Mgmt,No,89.0,Mkt&HR,60.22,No,1,2,4.4,Not Placed
M,87.42,Central,65.07,Central,Commerce,65.4,Others,Yes,94.81,Mkt&Fin,62.13,No,0,5,7.9,Placed
F,64.0,Central,67.0,Others,Science,69.6,Sci&Tech,Yes,55.67,Mkt&HR,71.49,Yes,0,4,5.3,Placed
